0	0	0	0
1	1.075446079731634	1.0	0.07544607973163409
2	2.117772969690024	2.0	0.11777296969002382
3	2.1177729696907326	2.0	0.11777296969073259
4	3.1600998596485823	3.0	0.1600998596485823
5	3.177904073424089	3.0	0.17790407342408887
6	3.1779040734330115	3.0	0.1779040734330115
7	4.220230963382328	4.0	0.22023096338232762
8	4.220230963391764	4.0	0.22023096339176362
9	4.256616966989056	4.0	0.2566169669890561
10	4.256616967098918	4.0	0.25661696709891757
11	5.280362067125484	5.0	0.28036206712548406
12	5.298943856947625	5.0	0.29894385694762526
13	5.298943857056992	5.0	0.298943857056992
14	5.352736850479776	5.0	0.35273685047977565
15	5.352736851474441	5.0	0.35273685147444134
16	6.359074960681324	6.0	0.3590749606813244
17	6.3590749608001165	6.0	0.35907496080011647
18	6.395063740437864	6.0	0.3950637404378643
19	6.395063741433028	6.0	0.39506374143302825
20	6.461083334774212	6.0	0.46108333477421226
